MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name,Unnamed: 0,pricePerHr,pricePerS,Iops,Memory
flights-m200,Azure,256,64,100K,0,0,RowInsert,0.2246904373168945,0.0020503002405166627,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100K,0,1,RowInsert,0.218214750289917,0.0019912095963954927,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100K,1,1,RowInsert,0.2691450119018554,0.002455948233604431,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,0,RowInsert,0.2626042366027832,0.002396263659000397,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,0,1,RowInsert,0.1873459815979004,0.0017095320820808412,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,1M,1,1,RowInsert,0.217043399810791,0.001980521023273468,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,0,RowInsert,0.2717151641845703,0.0024794008731842043,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,0,1,RowInsert,0.211404800415039,0.0019290688037872311,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,10M,1,1,RowInsert,0.2912981510162353,0.0026580956280231475,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,0,RowInsert,0.2158455848693847,0.001969590961933136,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,20M,0,1,RowInsert,0.2291884422302246,0.0020913445353508,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,0,RowInsert,0.2360191345214843,0.0021536746025085443,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,50M,0,1,RowInsert,0.21278977394104,0.0019417066872119903,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,0,RowInsert,0.1963982582092285,0.0017921341061592102,,,32.85,0.009125000000000001,1100,256
flights-m200,Azure,256,64,100M,0,1,RowInsert,0.2117033004760742,0.0019317926168441772,,,32.85,0.009125000000000001,1100,256
flights-m50,Azure,32,8,100K,0,0,RowInsert,0.2292795181274414,0.00037194232940673827,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100K,0,1,RowInsert,0.2449691295623779,0.0003973943657345241,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100K,1,1,RowInsert,0.2034945487976074,0.00033011337916056307,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,0,RowInsert,0.265141487121582,0.0004301184124416774,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,0,1,RowInsert,0.197322130203247,0.000320100344551934,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,1M,1,1,RowInsert,0.288257360458374,0.0004676174958546956,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,0,RowInsert,0.1859750747680664,0.0003016928990681966,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,0,1,RowInsert,0.2355134487152099,0.0003820551501380072,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,10M,1,1,RowInsert,0.2792947292327881,0.0004530781163109673,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,0,RowInsert,0.2202723026275634,0.00035733062426249174,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,20M,0,1,RowInsert,0.2408537864685058,0.00039071836471557607,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,0,RowInsert,0.2625675201416015,0.00042594286600748687,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,50M,0,1,RowInsert,0.2506666183471679,0.00040663695865207237,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,0,RowInsert,0.2373230457305908,0.00038499071862962503,,,5.84,0.0016222222222222222,500,32
flights-m50,Azure,32,8,100M,0,1,RowInsert,0.2426848411560058,0.00039368874231974273,,,5.84,0.0016222222222222222,500,32
flights-m80,Azure,128,32,100K,0,0,RowInsert,0.1756672859191894,0.0009627543197737796,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100K,0,1,RowInsert,0.2446022033691406,0.0013405559645758734,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,100K,1,1,RowInsert,0.2413368225097656,0.001322659863366021,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,0,RowInsert,0.2145023345947265,0.001175591961542765,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,0,1,RowInsert,0.2320113182067871,0.001271550918949975,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,1M,1,1,RowInsert,0.2768652439117431,0.0015173753506607477,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,0,RowInsert,0.2386448383331298,0.0013079062945312919,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,0,1,RowInsert,0.2518017292022705,0.0013800133658779992,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,10M,1,1,RowInsert,0.2308778762817382,0.0012653390275107485,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,20M,0,0,RowInsert,0.2438879013061523,0.001336641192436218,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,20M,0,1,RowInsert,0.210716962814331,0.001154846021201875,,,19.73,0.005480555555555555,1100,256
flights-m80,Azure,128,32,50M,0,0,RowInsert,0.2289924621582031,0.0012550059106614852,,,19.73,0.005480555555555555,1100,256
