,MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
0,flights-m200,Azure,0,0,1M,0,0,stringSearch,2.0879175662994385,0,
1,flights-m200,Azure,0,0,1M,0,1,stringSearch,0.5565745830535889,0,
2,flights-m200,Azure,0,0,1M,1,1,stringSearch,0.4318075180053711,0,
3,flights-m200,Azure,0,0,1M,0,0,stringSearch,2.4809374809265137,0,
4,flights-m200,Azure,0,0,1M,0,1,stringSearch,1.655815601348877,0,
5,flights-m200,Azure,0,0,1M,1,1,stringSearch,1.4202425479888916,0,
6,flights-m200,Azure,0,0,1M,0,0,stringSearch,1.9761404991149902,0,
7,flights-m200,Azure,0,0,1M,0,1,stringSearch,1.552290439605713,0,
8,flights-m200,Azure,0,0,1M,1,1,stringSearch,1.248077392578125,0,
9,flights-m200,Azure,0,0,1M,0,0,stringSearch,1.7990105152130127,0,
10,flights-m200,Azure,0,0,1M,0,1,stringSearch,1.4234657287597656,0,
11,flights-m200,Azure,0,0,1M,1,1,stringSearch,1.2735066413879395,0,
12,flights-m200,Azure,0,0,1M,0,0,stringSearch,1.8721964359283447,0,
13,flights-m200,Azure,0,0,1M,0,1,stringSearch,1.5178956985473633,0,
14,flights-m200,Azure,0,0,1M,1,1,stringSearch,1.529097557067871,0,
15,flights-m200,Azure,0,0,10M,0,0,stringSearch,13.75202751159668,0,
16,flights-m200,Azure,0,0,10M,0,1,stringSearch,7.2116382122039795,0,
17,flights-m200,Azure,0,0,10M,1,1,stringSearch,1.5020053386688232,0,
18,flights-m200,Azure,0,0,10M,0,0,stringSearch,15.335865020751953,0,
19,flights-m200,Azure,0,0,10M,0,1,stringSearch,8.216007232666016,0,
20,flights-m200,Azure,0,0,10M,1,1,stringSearch,1.4473857879638672,0,
21,flights-m200,Azure,0,0,10M,0,0,stringSearch,14.919386863708496,0,
22,flights-m200,Azure,0,0,10M,0,1,stringSearch,8.237697124481201,0,
23,flights-m200,Azure,0,0,10M,1,1,stringSearch,1.3683180809020996,0,
24,flights-m200,Azure,0,0,10M,0,0,stringSearch,14.644891262054443,0,
25,flights-m200,Azure,0,0,10M,0,1,stringSearch,7.7110114097595215,0,
26,flights-m200,Azure,0,0,10M,1,1,stringSearch,1.5632669925689697,0,
27,flights-m200,Azure,0,0,10M,0,0,stringSearch,14.81280779838562,0,
28,flights-m200,Azure,0,0,10M,0,1,stringSearch,8.698095321655273,0,
29,flights-m200,Azure,0,0,10M,1,1,stringSearch,1.6136970520019531,0,
30,flights-m200,Azure,0,0,20M,0,0,stringSearch,30.874738693237305,0,
31,flights-m200,Azure,0,0,20M,0,1,stringSearch,14.533741474151611,0,
32,flights-m200,Azure,0,0,20M,0,0,stringSearch,31.43999695777893,0,
33,flights-m200,Azure,0,0,20M,0,1,stringSearch,15.007950067520142,0,
34,flights-m200,Azure,0,0,20M,0,0,stringSearch,32.903539419174194,0,
35,flights-m200,Azure,0,0,20M,0,1,stringSearch,15.912479639053345,0,
36,flights-m200,Azure,0,0,20M,0,0,stringSearch,33.04638934135437,0,
37,flights-m200,Azure,0,0,20M,0,1,stringSearch,15.79207706451416,0,
