MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
flights-m10,Azure,0,0,100K,0,0,RowInsert,1.9895567893981934,0,
flights-m10,Azure,0,0,100K,0,1,RowInsert,0.2579519748687744,0,
flights-m10,Azure,0,0,100K,1,1,RowInsert,0.2530643939971924,0,
flights-m10,Azure,0,0,1M,0,0,RowInsert,0.20823121070861816,0,
flights-m10,Azure,0,0,1M,0,1,RowInsert,0.24718689918518066,0,
flights-m10,Azure,0,0,1M,1,1,RowInsert,0.2026653289794922,0,
flights-m10,Azure,0,0,10M,0,0,RowInsert,0.23015236854553223,0,
flights-m10,Azure,0,0,10M,0,1,RowInsert,0.27463483810424805,0,
flights-m10,Azure,0,0,10M,1,1,RowInsert,0.20662617683410645,0,
flights-m10,Azure,0,0,20M,0,0,RowInsert,0.22508597373962402,0,
flights-m10,Azure,0,0,20M,0,1,RowInsert,0.23792243003845215,0,
flights-m10,Azure,0,0,50M,0,0,RowInsert,0.21109461784362793,0,
flights-m10,Azure,0,0,50M,0,1,RowInsert,0.20302224159240723,0,
flights-m10,Azure,0,0,100M,0,0,RowInsert,0.21951055526733398,0,
flights-m10,Azure,0,0,100M,0,1,RowInsert,0.3007984161376953,0,
flights-m20,Azure,0,0,100K,0,0,RowInsert,0.3067455291748047,0,
flights-m20,Azure,0,0,100K,0,1,RowInsert,0.19877362251281738,0,
flights-m20,Azure,0,0,1M,0,0,RowInsert,0.24722576141357422,0,
flights-m20,Azure,0,0,1M,0,1,RowInsert,0.1963486671447754,0,
flights-m20,Azure,0,0,10M,0,0,RowInsert,0.23565196990966797,0,
flights-m20,Azure,0,0,10M,0,1,RowInsert,0.2391197681427002,0,
flights-m20,Azure,0,0,100M,0,0,RowInsert,0.21482515335083008,0,
flights-m20,Azure,0,0,100M,0,1,RowInsert,0.24271416664123535,0,
flights-m200,Azure,0,0,100K,0,0,RowInsert,0.22469043731689453,0,
flights-m200,Azure,0,0,100K,0,1,RowInsert,0.218214750289917,0,
flights-m200,Azure,0,0,100K,1,1,RowInsert,0.26914501190185547,0,
flights-m200,Azure,0,0,1M,0,0,RowInsert,0.2626042366027832,0,
flights-m200,Azure,0,0,1M,0,1,RowInsert,0.1873459815979004,0,
flights-m200,Azure,0,0,1M,1,1,RowInsert,0.21704339981079102,0,
flights-m200,Azure,0,0,10M,0,0,RowInsert,0.2717151641845703,0,
flights-m200,Azure,0,0,10M,0,1,RowInsert,0.21140480041503906,0,
flights-m200,Azure,0,0,10M,1,1,RowInsert,0.29129815101623535,0,
flights-m200,Azure,0,0,20M,0,0,RowInsert,0.21584558486938477,0,
flights-m200,Azure,0,0,20M,0,1,RowInsert,0.2291884422302246,0,
flights-m200,Azure,0,0,50M,0,0,RowInsert,0.23601913452148438,0,
flights-m200,Azure,0,0,50M,0,1,RowInsert,0.21278977394104004,0,
flights-m200,Azure,0,0,100M,0,0,RowInsert,0.19639825820922852,0,
flights-m200,Azure,0,0,100M,0,1,RowInsert,0.21170330047607422,0,
flights-m50,Azure,0,0,100K,0,0,RowInsert,0.2292795181274414,0,
flights-m50,Azure,0,0,100K,0,1,RowInsert,0.24496912956237793,0,
flights-m50,Azure,0,0,100K,1,1,RowInsert,0.20349454879760742,0,
flights-m50,Azure,0,0,1M,0,0,RowInsert,0.26514148712158203,0,
flights-m50,Azure,0,0,1M,0,1,RowInsert,0.19732213020324707,0,
flights-m50,Azure,0,0,1M,1,1,RowInsert,0.288257360458374,0,
flights-m50,Azure,0,0,10M,0,0,RowInsert,0.1859750747680664,0,
flights-m50,Azure,0,0,10M,0,1,RowInsert,0.23551344871520996,0,
flights-m50,Azure,0,0,10M,1,1,RowInsert,0.2792947292327881,0,
flights-m50,Azure,0,0,20M,0,0,RowInsert,0.22027230262756348,0,
flights-m50,Azure,0,0,20M,0,1,RowInsert,0.24085378646850586,0,
flights-m50,Azure,0,0,50M,0,0,RowInsert,0.26256752014160156,0,
flights-m50,Azure,0,0,50M,0,1,RowInsert,0.25066661834716797,0,
flights-m50,Azure,0,0,100M,0,0,RowInsert,0.23732304573059082,0,
flights-m50,Azure,0,0,100M,0,1,RowInsert,0.24268484115600586,0,
flights-m80,Azure,0,0,100K,0,0,RowInsert,0.17566728591918945,0,
flights-m80,Azure,0,0,100K,0,1,RowInsert,0.24460220336914062,0,
flights-m80,Azure,0,0,100K,1,1,RowInsert,0.24133682250976562,0,
flights-m80,Azure,0,0,1M,0,0,RowInsert,0.21450233459472656,0,
flights-m80,Azure,0,0,1M,0,1,RowInsert,0.2320113182067871,0,
flights-m80,Azure,0,0,1M,1,1,RowInsert,0.27686524391174316,0,
flights-m80,Azure,0,0,10M,0,0,RowInsert,0.23864483833312988,0,
flights-m80,Azure,0,0,10M,0,1,RowInsert,0.2518017292022705,0,
flights-m80,Azure,0,0,10M,1,1,RowInsert,0.23087787628173828,0,
flights-m80,Azure,0,0,20M,0,0,RowInsert,0.24388790130615234,0,
flights-m80,Azure,0,0,20M,0,1,RowInsert,0.21071696281433105,0,
flights-m80,Azure,0,0,50M,0,0,RowInsert,0.22899246215820312,0,
flights-m80,Azure,0,0,50M,0,1,RowInsert,0.23289275169372559,0,
flights-m80,Azure,0,0,100M,0,0,RowInsert,0.20761895179748535,0,
flights-m80,Azure,0,0,100M,0,1,RowInsert,0.2262248992919922,0,
