MongoClusterType,CloudProvider,RAM,CPUs,datavolume,shardingtype,indextype,querytype,responsetime,usagecost,df_name
flights-m200,Azure,0,0,1M,0,0,stringSearch_last_name,1.9020605087280273,0,
flights-m200,Azure,0,0,1M,0,1,stringSearch_last_name,2.1790249347686768,0,
flights-m200,Azure,0,0,1M,1,1,stringSearch_last_name,2.0910584926605225,0,
flights-m200,Azure,0,0,1M,0,0,stringSearch_last_name,1.5904467105865479,0,
flights-m200,Azure,0,0,1M,0,1,stringSearch_last_name,2.148742198944092,0,
flights-m200,Azure,0,0,1M,1,1,stringSearch_last_name,2.1182363033294678,0,
flights-m200,Azure,0,0,1M,0,0,stringSearch_last_name,1.3695878982543945,0,
flights-m200,Azure,0,0,1M,0,1,stringSearch_last_name,2.53609037399292,0,
flights-m200,Azure,0,0,1M,1,1,stringSearch_last_name,2.3559458255767822,0,
flights-m200,Azure,0,0,1M,0,0,stringSearch_last_name,1.3993475437164307,0,
flights-m200,Azure,0,0,1M,0,1,stringSearch_last_name,1.9897654056549072,0,
flights-m200,Azure,0,0,1M,1,1,stringSearch_last_name,2.1181657314300537,0,
flights-m200,Azure,0,0,1M,0,0,stringSearch_last_name,1.7191791534423828,0,
flights-m200,Azure,0,0,1M,0,1,stringSearch_last_name,2.519286632537842,0,
flights-m200,Azure,0,0,1M,1,1,stringSearch_last_name,2.3196797370910645,0,
flights-m200,Azure,0,0,10M,0,0,stringSearch_last_name,6.158046007156372,0,
flights-m200,Azure,0,0,10M,0,1,stringSearch_last_name,7.116421937942505,0,
flights-m200,Azure,0,0,10M,1,1,stringSearch_last_name,9.136828184127808,0,
flights-m200,Azure,0,0,10M,0,0,stringSearch_last_name,6.304949760437012,0,
flights-m200,Azure,0,0,10M,0,1,stringSearch_last_name,7.050312757492065,0,
flights-m200,Azure,0,0,10M,1,1,stringSearch_last_name,9.29967999458313,0,
flights-m200,Azure,0,0,10M,0,0,stringSearch_last_name,6.005051612854004,0,
flights-m200,Azure,0,0,10M,0,1,stringSearch_last_name,7.27899432182312,0,
flights-m200,Azure,0,0,10M,1,1,stringSearch_last_name,8.83153510093689,0,
flights-m200,Azure,0,0,10M,0,0,stringSearch_last_name,6.27540135383606,0,
flights-m200,Azure,0,0,10M,0,1,stringSearch_last_name,7.428617715835571,0,
flights-m200,Azure,0,0,10M,1,1,stringSearch_last_name,8.757134437561035,0,
flights-m200,Azure,0,0,10M,0,0,stringSearch_last_name,6.057582855224609,0,
flights-m200,Azure,0,0,10M,0,1,stringSearch_last_name,6.9110753536224365,0,
flights-m200,Azure,0,0,10M,1,1,stringSearch_last_name,9.167182207107544,0,
flights-m200,Azure,0,0,20M,0,0,stringSearch_last_name,11.537915229797363,0,
flights-m200,Azure,0,0,20M,0,1,stringSearch_last_name,11.186770915985107,0,
flights-m200,Azure,0,0,20M,0,0,stringSearch_last_name,11.045812368392944,0,
flights-m200,Azure,0,0,20M,0,1,stringSearch_last_name,10.986499786376953,0,
flights-m200,Azure,0,0,20M,0,0,stringSearch_last_name,10.941168069839478,0,
flights-m200,Azure,0,0,20M,0,1,stringSearch_last_name,10.91678524017334,0,
flights-m200,Azure,0,0,20M,0,0,stringSearch_last_name,10.922079801559448,0,
flights-m200,Azure,0,0,20M,0,1,stringSearch_last_name,11.038869380950928,0,
flights-m200,Azure,0,0,20M,0,0,stringSearch_last_name,12.802099227905273,0,
flights-m200,Azure,0,0,20M,0,1,stringSearch_last_name,12.341229677200317,0,
flights-m200,Azure,0,0,50M,0,0,stringSearch_last_name,24.819655418395996,0,
flights-m200,Azure,0,0,50M,0,1,stringSearch_last_name,23.699723482131958,0,
flights-m200,Azure,0,0,50M,0,0,stringSearch_last_name,26.463794231414795,0,
flights-m200,Azure,0,0,50M,0,1,stringSearch_last_name,26.338189363479614,0,
